No ,Pertanyaan ,Jawaban,Sumber
300,Berapa kali harus mengulangi bacaan di Bukit Shafa?,"Bacaan di Bukit Shafa diulang tiga kali, dengan berdoa di antara pengulangan-pengulangan tersebut dengan doa apa saja yang dikehendaki. Apakah bapak/ibu ingin mengetahui lebih rinci tentang doa yang disarankan?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
301,Apa yang dilakukan setelah selesai di Bukit Shafa?,"Setelah selesai di Bukit Shafa, turunlah dan berjalan menuju Bukit Marwah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang langkah selanjutnya setelah Bukit Shafa?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
302,Bagaimana cara berlari-lari kecil saat sa'i?,"Disunnahkan bagi laki-laki untuk berlari-lari kecil dengan cepat dan sungguh-sungguh di antara dua tanda lampu hijau yang berada di Mas’a (tempat sa'i), kemudian berjalan biasa menuju Marwah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tanda-tanda ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
303,Apa yang dilakukan saat tiba di Bukit Marwah?,"Setibanya di Bukit Marwah, lakukanlah apa yang dikerjakan di Shafa, yaitu menghadap kiblat, bertakbir, membaca dzikir, dan berdoa dengan doa apa saja yang dikehendaki. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang langkah di Bukit Marwah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
304,Berapa putaran yang harus dilakukan saat sa'i?,"Perjalanan dari Shafa ke Marwah dihitung satu putaran. Lakukan hal ini hingga tujuh kali putaran, berakhir di Marwah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang perhitungan putaran ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
305,Bagaimana cara menghitung putaran sa'i?,"Setiap perjalanan dari Shafa ke Marwah dihitung satu putaran, dan dari Marwah kembali ke Shafa juga dihitung satu putaran. Jadi, total tujuh putaran akan berakhir di Marwah. Apakah bapak/ibu ingin penjelasan lebih rinci tentang perhitungan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
306,Apakah ada dzikir tertentu yang harus dibaca saat sa'i?,"Tidak ada dzikir atau bacaan tertentu yang diwajibkan saat sa'i. Bapak dan ibu boleh berdzikir, berdoa, atau membaca bacaan apa saja yang diinginkan. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang bacaan saat sa'i?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
307,Apa doa yang disarankan saat sa'i?,"Bapak dan ibu boleh membaca doa apa saja yang diinginkan saat sa'i. Salah satu doa yang disarankan adalah, ""Allahummaghfirli warham wa antal a’azzul akrom"" (Ya Rabbku, ampuni dan rahmatilah aku. Sesungguhnya Engkaulah Yang Maha Perkasa dan Maha Pemurah). Apakah bapak/ibu ingin mengetahui lebih lanjut tentang doa ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
308,Apa yang dilakukan saat turun dari Shafa?,"Setelah berdoa dan berdzikir di Shafa, turunlah menuju Marwah dengan berjalan di tempat yang ditentukan untuk berjalan dan berlari di tempat yang ditentukan untuk berlari bagi laki-laki. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
309,Apakah ada doa khusus saat berada di antara dua tanda lampu hijau?,"Tidak ada doa khusus yang diwajibkan saat berada di antara dua tanda lampu hijau, tetapi disunnahkan untuk berlari-lari kecil bagi laki-laki di antara dua tanda tersebut. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang sunnah ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
310,Bagaimana tata cara menaiki Bukit Marwah?,"Setibanya di Marwah, lakukanlah seperti di Shafa: menghadap kiblat, bertakbir, membaca dzikir, dan berdoa dengan doa apa saja yang dikehendaki. Apakah bapak/ibu ingin mengetahui lebih rinci tentang langkah ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
311,Bagaimana cara menyelesaikan putaran sa'i?,"Lakukan sa'i hingga tujuh kali putaran, dengan setiap perjalanan dari Shafa ke Marwah dihitung satu putaran, dan berakhir di Marwah. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang tata cara menyelesaikan sa'i?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
312,Apakah ada dzikir jama'i saat sa'i?,"Tidak disyariatkan dzikir jama'i saat sa'i. Bapak dan ibu boleh berdzikir, berdoa, atau membaca bacaan apa saja yang diinginkan secara pribadi. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang bacaan saat sa'i?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
313,Apa yang harus dibaca saat tiba di Bukit Shafa untuk pertama kali?,"Saat tiba di Bukit Shafa untuk pertama kali, bacalah ""Innash shafaa wal marwata min sya’airillah"" dan ""Nabda-u bimaa bada-allah bih"". Apakah bapak/ibu ingin mengetahui lebih rinci tentang bacaan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
314,Apa yang dilakukan setelah menyelesaikan sa'i?,"Setelah menyelesaikan sa'i, tidak ada amalan khusus yang diwajibkan, tetapi dianjurkan untuk tetap berdoa dan berdzikir sesuai keinginan. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang amalan setelah sa'i?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
315,Bagaimana cara menaiki Bukit Shafa?,"Saat menaiki Bukit Shafa, menghadaplah ke arah Ka'bah dan bacalah ""Allahu Akbar"" tiga kali, lalu baca dzikir dan doa yang disunnahkan. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara menaiki Bukit Shafa?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
316,Apa yang dilakukan saat berada di antara Shafa dan Marwah?,"Saat berada di antara Shafa dan Marwah, disunnahkan berlari-lari kecil bagi laki-laki di antara dua tanda lampu hijau, dan berjalan biasa di tempat lainnya. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
317,Apakah ada doa tertentu yang harus dibaca saat sa'i?,"Tidak ada doa tertentu yang diwajibkan saat sa'i. Bapak dan ibu boleh membaca doa apa saja yang diinginkan, termasuk doa ""Allahummaghfirli warham wa antal a’azzul akrom"". Apakah bapak/ibu ingin mengetahui lebih lanjut tentang bacaan doa ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
318,Apa yang harus dilakukan setelah sa'i?,"Baik bapak dan ibu, setelah menyelesaikan sa'i, kita melakukan tahallul. Tahallul dilakukan dengan memendekkan seluruh rambut kepala atau mencukur gundul. Mencukur gundul adalah yang lebih afdhal karena Rasulullah SAW mendoakan tiga kali bagi mereka yang mencukur gundul. Ini menunjukkan betapa pentingnya mencukur gundul dalam proses tahallul. Dengan tahallul, kita menandai berakhirnya ihram dan bisa kembali melakukan hal-hal yang sebelumnya dilarang saat ihram. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara tahallul ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
319,Bagaimana cara tahallul bagi wanita?,"Untuk wanita, tahallul dilakukan dengan cara memotong rambut sepanjang satu ruas jari. Ini berbeda dengan laki-laki yang dianjurkan untuk mencukur gundul atau memendekkan rambut. Proses memotong rambut bagi wanita cukup sederhana namun tetap harus dilakukan dengan niat yang benar dan sesuai tuntunan. Tahallul bagi wanita menandai berakhirnya ihram dan memungkinkan mereka kembali melakukan aktivitas sehari-hari yang sebelumnya dilarang. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tahallul bagi wanita?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
320,Apakah mencukur gundul lebih utama?,"Ya, mencukur gundul lebih utama daripada hanya memendekkan rambut. Rasulullah SAW mendoakan tiga kali bagi mereka yang mencukur gundul dan hanya sekali bagi mereka yang memendekkan rambut. Ini menunjukkan keutamaan mencukur gundul dalam tahallul. Dalam beberapa hadits, Rasulullah SAW menunjukkan bahwa mencukur gundul memiliki keutamaan khusus, salah satunya adalah mendapatkan doa ampunan yang lebih banyak. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang keutamaan mencukur gundul dan hadits-hadits yang mendukungnya?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
321,Apa doa yang dibaca Nabi untuk orang yang mencukur gundul?,"Nabi shallallahu ‘alaihi wa sallam berdoa, ""Ya Allah, ampunilah mereka yang menggundul habis."" Beliau mengulangi doa ini tiga kali, menunjukkan betapa besar keutamaan bagi mereka yang menggundul rambut saat tahallul. Para sahabat kemudian bertanya tentang mereka yang hanya memendekkan rambut, dan Rasulullah SAW tetap mendoakan mereka, namun doa ampunan utama diberikan kepada yang menggundul. Ini menunjukkan keutamaan menggundul rambut dalam ibadah umrah dan haji. Apakah bapak/ibu ingin mengetahui lebih rinci tentang doa ini dan konteksnya?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
322,Apakah memendekkan rambut juga diterima?,"Ya, memendekkan rambut juga diterima sebagai bentuk tahallul, meskipun menggundul lebih utama. Nabi shallallahu ‘alaihi wa sallam mendoakan mereka yang memendekkan rambut setelah mendoakan tiga kali bagi yang menggundul. Ini menunjukkan bahwa meskipun menggundul lebih utama, memendekkan rambut juga merupakan bentuk ibadah yang sah dan diterima. Dalam kondisi tertentu di mana menggundul tidak memungkinkan, memendekkan rambut tetap memenuhi syarat tahallul. Apakah bapak/ibu ingin mengetahui lebih lanjut tentang syarat dan keutamaan memendekkan rambut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
323,Apa yang dilakukan setelah memotong atau mencukur rambut?,"Setelah memotong atau mencukur rambut, ibadah umrah berakhir dan kita dibolehkan kembali mengerjakan hal-hal yang tadinya dilarang saat ihram. Ini termasuk memakai pakaian biasa, memakai wangi-wangian, dan hubungan suami-istri. Tahallul menandai akhir dari fase ihram dan menandai bahwa kita telah menyelesaikan ibadah umrah dengan baik. Proses ini juga merupakan bentuk ketaatan dan penyerahan diri kepada Allah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang hal-hal yang kembali diperbolehkan setelah tahallul?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
324,Apakah ada perbedaan tahallul bagi laki-laki dan wanita?,"Ya, ada perbedaan. Laki-laki dianjurkan untuk mencukur gundul atau memendekkan rambut, sementara wanita cukup memotong rambut sepanjang satu ruas jari. Perbedaan ini berdasarkan pada tuntunan Rasulullah SAW yang memperhatikan kondisi fisik dan sosial masing-masing gender. Bagi wanita, tahallul dilakukan dengan cara yang lebih sederhana namun tetap sah dan memenuhi syarat. Proses ini menandai berakhirnya ihram dan memungkinkan wanita kembali melakukan aktivitas sehari-hari. Apakah bapak/ibu ingin mengetahui lebih rinci tentang perbedaan ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
325,Bagaimana cara memotong rambut bagi wanita saat tahallul?,"Bagi wanita, tahallul dilakukan dengan memotong rambut sepanjang satu ruas jari. Ini cukup dilakukan dengan memotong bagian ujung rambut secara merata. Proses ini menandai berakhirnya ihram dan memudahkan wanita kembali ke aktivitas normal. Tahallul bagi wanita juga memiliki makna spiritual yang sama seperti bagi laki-laki, meskipun caranya berbeda. Hal ini menunjukkan fleksibilitas dalam syariat yang tetap memperhatikan kondisi dan kebutuhan jamaah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara memotong rambut ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
326,Apa saja yang boleh dilakukan setelah tahallul?,"Setelah tahallul, semua larangan ihram seperti memakai pakaian biasa, memakai wangi-wangian, dan hubungan suami-istri kembali dibolehkan. Tahallul menandai selesainya fase ihram dan kita kembali bisa menjalani kehidupan sehari-hari seperti biasa. Ini termasuk kegiatan yang sebelumnya dilarang selama dalam keadaan ihram. Tahallul juga memberikan kesempatan untuk bersyukur dan melanjutkan ibadah lainnya dengan semangat baru. Apakah bapak/ibu ingin mengetahui lebih rinci tentang hal-hal yang kembali diperbolehkan setelah tahallul?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
327,Apa yang dimaksud dengan tahallul?,"Tahallul adalah proses memotong atau mencukur rambut sebagai tanda selesainya ihram. Ini merupakan syarat sah umrah dan haji, menandai berakhirnya fase ihram dan kembalinya jamaah ke keadaan normal. Tahallul juga mencerminkan ketaatan dan kesucian setelah menyelesaikan ibadah utama. Dengan tahallul, jamaah menunjukkan ketaatan pada tuntunan Rasulullah SAW dan mengakhiri perjalanan ibadah dengan cara yang benar. Apakah bapak/ibu ingin mengetahui lebih rinci tentang makna dan pentingnya tahallul dalam ibadah umrah dan haji?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
328,Apakah ada dalil tentang menggundul rambut?,"Ya, Allah Ta’ala berfirman dalam QS. Al Fath: 27 bahwa kita akan memasuki Masjidil Haram dengan mencukur rambut kepala atau mengguntingnya. Ini menunjukkan bahwa menggundul rambut adalah perintah Allah dan Rasul-Nya. Hadits-hadits mutawatir juga menunjukkan bahwa Rasulullah SAW dan para sahabat menggundul rambut saat tahallul. Ini menekankan pentingnya tindakan ini sebagai bagian dari ibadah umrah dan haji yang sah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang dalil dan hadits-hadits terkait menggundul rambut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
329,Apa yang dilakukan jika tidak bisa menggundul rambut?,"Jika tidak bisa menggundul rambut, cukup memendekkan rambut. Memendekkan rambut adalah alternatif yang diterima dalam syariat jika menggundul tidak memungkinkan. Meskipun menggundul lebih afdhal, memendekkan rambut tetap sah dan diterima sebagai bentuk tahallul. Ini menunjukkan fleksibilitas dalam syariat yang memperhatikan kondisi fisik dan kebutuhan jamaah. Proses ini tetap menandai berakhirnya ihram dan mengakhiri ibadah umrah dengan benar. Apakah bapak/ibu ingin mengetahui lebih rinci tentang cara memendekkan rambut ini?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
330,Apakah tahallul mengakhiri ibadah umrah?,"Ya, setelah tahallul, ibadah umrah berakhir dan kita kembali diperbolehkan melakukan hal-hal yang tadinya dilarang saat ihram. Ini termasuk memakai pakaian biasa, memakai wangi-wangian, dan hubungan suami-istri. Tahallul adalah tanda bahwa kita telah menyelesaikan semua rukun dan wajib umrah. Dengan demikian, tahallul menandai akhir dari perjalanan ibadah umrah dan kita kembali ke keadaan normal. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tahallul dan akhir ibadah umrah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
331,Mengapa mencukur gundul lebih utama?,"Mencukur gundul lebih utama karena Nabi shallallahu ‘alaihi wa sallam mendoakan ampunan tiga kali bagi yang mencukur gundul dan hanya sekali bagi yang memendekkan rambut. Ini menunjukkan bahwa menggundul rambut memiliki keutamaan khusus dalam ibadah tahallul. Rasulullah SAW dan banyak sahabat juga menggundul rambut saat haji dan umrah, menunjukkan bahwa ini adalah tindakan yang sangat dianjurkan. Keutamaan ini juga didukung oleh dalil-dalil dari Al-Qur’an dan Hadits yang menekankan pentingnya mencukur gundul sebagai bentuk kesempurnaan ibadah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang keutamaan dan dalil yang mendukung menggundul rambut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
332,Apakah mencukur gundul wajib bagi laki-laki?,"Tidak, mencukur gundul tidak wajib, tetapi lebih afdhal. Memendekkan rambut juga diterima sebagai bentuk tahallul yang sah. Meskipun mencukur gundul memiliki keutamaan lebih, memendekkan rambut tetap merupakan pilihan yang valid dalam syariat. Hal ini memberikan fleksibilitas bagi jamaah yang mungkin tidak bisa atau tidak ingin menggundul rambut. Keduanya tetap menunjukkan ketaatan pada tuntunan Rasulullah SAW dan menandai berakhirnya ihram. Apakah bapak/ibu ingin mengetahui lebih rinci tentang pilihan antara mencukur gundul dan memendekkan rambut?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
333,Apa yang dilakukan setelah tahallul?,"Setelah tahallul, kita kembali diperbolehkan melakukan hal-hal yang tadinya dilarang saat ihram, seperti memakai pakaian biasa, memakai wangi-wangian, dan hubungan suami-istri. Tahallul menandai selesainya fase ihram dan kita kembali bisa menjalani kehidupan sehari-hari seperti biasa. Ini termasuk kegiatan yang sebelumnya dilarang selama dalam keadaan ihram. Tahallul juga memberikan kesempatan untuk bersyukur dan melanjutkan ibadah lainnya dengan semangat baru. Apakah bapak/ibu ingin mengetahui lebih rinci tentang hal-hal yang kembali diperbolehkan setelah tahallul?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
334,Bagaimana cara memendekkan rambut saat tahallul?,Memendekkan rambut dilakukan dengan meratakan potongan rambut di seluruh kepala. Pastikan potongan rambut dilakukan secara merata dan tidak hanya sebagian. Ini menandakan bahwa kita telah menyelesaikan ibadah dengan baik dan sah. Memendekkan rambut juga menunjukkan kepatuhan pada tuntunan Rasulullah SAW dan merupakan bagian dari tahallul yang sah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang cara memendekkan rambut ini?,"Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
335,Apakah ada amalan khusus setelah tahallul?,"Tidak ada amalan khusus yang diwajibkan setelah tahallul, tetapi dianjurkan untuk bersyukur dan melanjutkan ibadah lainnya. Setelah tahallul, kita bisa melanjutkan dengan shalat sunnah, dzikir, dan doa sebagai bentuk syukur atas selesainya ibadah umrah. Ini juga waktu yang baik untuk berdoa dan memohon ampunan kepada Allah. Melanjutkan ibadah lainnya setelah tahallul menunjukkan komitmen kita untuk terus berada dalam ketaatan dan keimanan. Apakah bapak/ibu ingin mengetahui lebih rinci tentang amalan yang dianjurkan setelah tahallul?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
336,Bagaimana cara memastikan tahallul yang sah?,"Pastikan rambut dipotong atau dicukur dengan merata dan sesuai dengan tuntunan, baik bagi laki-laki maupun wanita. Laki-laki dapat memilih antara menggundul atau memendekkan rambut, sedangkan wanita memotong rambut sepanjang satu ruas jari. Proses ini harus dilakukan dengan niat yang benar dan sesuai syariat. Setelah tahallul, pastikan semua larangan ihram telah dicabut dan kita kembali ke keadaan normal. Apakah bapak/ibu ingin mengetahui lebih rinci tentang cara memastikan tahallul yang sah dan sesuai syariat?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
337,Apa yang harus diperhatikan saat tahallul?,"Pastikan untuk memotong atau mencukur rambut dengan benar dan merata, serta memahami bahwa tahallul menandai berakhirnya ihram dan dimulainya kembali kebebasan dari larangan ihram. Proses ini harus dilakukan dengan niat yang ikhlas dan sesuai tuntunan syariat. Selain itu, penting untuk tetap menjaga adab dan etika selama melakukan tahallul, serta memanfaatkan waktu ini untuk bersyukur dan berdoa. Setelah tahallul, kita harus memastikan bahwa semua larangan ihram telah dicabut dan kita kembali ke keadaan normal. Apakah bapak/ibu ingin mengetahui lebih rinci tentang hal-hal yang perlu diperhatikan saat tahallul?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
338,Bagaimana langkah pertama dalam haji tamatu'?,"Baik bapak dan ibu, langkah pertama dalam haji tamatu' adalah ihram dari miqat. Miqat adalah tempat yang telah ditentukan untuk memulai ihram. Di sini, kita berniat untuk umrah dan mengucapkan talbiyah, yaitu ""Labbaik Allahumma labbaik."" Dengan niat dan talbiyah ini, kita memasuki keadaan ihram, di mana kita harus mematuhi larangan-larangan ihram. Setelah itu, kita melanjutkan perjalanan menuju Mekkah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang miqat dan tata cara ihram?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
339,Apa yang dilakukan setelah ihram dari miqat?,"Setelah ihram dari miqat, kita melanjutkan perjalanan menuju Masjidil Haram di Mekkah untuk melaksanakan tawaf. Tawaf adalah mengelilingi Ka'bah sebanyak tujuh kali, dimulai dan berakhir di Hajar Aswad. Setiap putaran tawaf harus dilakukan dengan penuh khidmat dan khusyuk, mengingat kebesaran Allah. Setelah selesai tawaf, kita melanjutkan dengan sa'i antara Bukit Shafa dan Marwah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara tawaf?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
340,Apa itu sa'i dalam umrah?,"Sa'i adalah berjalan bolak-balik antara Bukit Shafa dan Marwah sebanyak tujuh kali. Ini merupakan salah satu rukun umrah. Sa'i dimulai dari Bukit Shafa dan berakhir di Bukit Marwah, dengan perjalanan dari Shafa ke Marwah dihitung satu kali. Dalam sa'i, kita disunnahkan untuk berlari-lari kecil antara dua tanda lampu hijau dan berjalan biasa di bagian lainnya. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara sa'i dan sunnah-sunnahnya?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
341,Bagaimana cara tahallul setelah sa'i?,"Setelah menyelesaikan sa'i, kita melakukan tahallul dengan memotong rambut. Bagi laki-laki, dianjurkan mencukur gundul atau memendekkan rambut, sementara bagi wanita cukup memotong rambut sepanjang satu ruas jari. Tahallul menandai berakhirnya umrah dan kita kembali boleh melakukan hal-hal yang tadinya dilarang saat ihram. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara tahallul dan larangan-larangan ihram?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
342,Apa yang dilakukan setelah tahallul umrah?,"Setelah tahallul umrah, kita kembali boleh memakai pakaian biasa dan melakukan aktivitas sehari-hari. Kemudian, kita menunggu hingga tanggal 8 Dzulhijjah untuk memulai ihram kembali untuk haji. Pada hari itu, kita berihram di mana saja, seperti di hotel atau tempat lain yang memungkinkan, dan melanjutkan perjalanan ke Mina. Apakah bapak/ibu ingin mengetahui lebih rinci tentang persiapan ihram untuk haji?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
343,Bagaimana proses ihram pada tanggal 8 Dzulhijjah?,"Pada tanggal 8 Dzulhijjah, kita memulai ihram untuk haji dari tempat kita berada, seperti hotel. Kita berniat untuk haji dan mengucapkan talbiyah, kemudian melanjutkan perjalanan ke Mina. Di Mina, kita melaksanakan shalat lima waktu: Dhuhur, Ashar, Maghrib, Isya, dan Subuh. Apakah bapak/ibu ingin mengetahui lebih rinci tentang aktivitas di Mina pada hari Tarwiyah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
344,Apa yang dilakukan di Mina pada hari Tarwiyah?,"Di Mina pada hari Tarwiyah, kita melaksanakan shalat lima waktu: Dhuhur, Ashar, Maghrib, Isya, dan Subuh. Selama di Mina, kita memperbanyak dzikir dan doa, serta mempersiapkan diri untuk wukuf di Arafah keesokan harinya. Ini adalah waktu yang penting untuk introspeksi dan mendekatkan diri kepada Allah. Apakah bapak/ibu ingin mengetahui lebih rinci tentang aktivitas di Mina dan persiapan wukuf?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
345,Apa yang dilakukan pada tanggal 9 Dzulhijjah di Arafah?,"Pada tanggal 9 Dzulhijjah, setelah shalat Subuh di Mina, kita berangkat ke Arafah. Di Arafah, kita melaksanakan shalat Dhuhur dan Ashar dengan jama' taqdim, kemudian wukuf dari waktu Dhuhur hingga Maghrib. Selama wukuf, kita memperbanyak doa, dzikir, dan tilawah Al-Qur'an. Wukuf di Arafah adalah puncak ibadah haji. Apakah bapak/ibu ingin mengetahui lebih rinci tentang wukuf di Arafah dan amalan-amalannya?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
346,Apa itu wukuf di Arafah?,"Wukuf di Arafah adalah berdiam diri di Padang Arafah dari waktu Dhuhur hingga Maghrib pada tanggal 9 Dzulhijjah. Ini adalah rukun haji yang paling penting. Selama wukuf, kita memperbanyak doa, dzikir, dan tilawah Al-Qur'an, memohon ampunan dan rahmat dari Allah. Wukuf di Arafah adalah momen spiritual yang sangat mendalam bagi setiap jamaah haji. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara dan keutamaan wukuf di Arafah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
347,Apa yang dilakukan setelah wukuf di Arafah?,"Setelah wukuf di Arafah, kita berangkat ke Muzdalifah untuk mabit (bermalam). Di Muzdalifah, kita mengumpulkan tujuh kerikil untuk lempar jumrah, kemudian melaksanakan shalat Maghrib dan Isya dengan jama' ta'khir. Mabit di Muzdalifah adalah bagian penting dari ibadah haji, di mana kita juga memperbanyak doa dan dzikir. Apakah bapak/ibu ingin mengetahui lebih rinci tentang aktivitas di Muzdalifah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
348,Bagaimana tata cara mabit di Muzdalifah?,"Di Muzdalifah, setelah tiba dari Arafah, kita melaksanakan shalat Maghrib dan Isya dengan jama' ta'khir di waktu Isya. Kemudian, kita mengumpulkan tujuh kerikil untuk lempar jumrah pada hari berikutnya. Mabit di Muzdalifah juga diisi dengan doa dan dzikir, serta mempersiapkan diri untuk lempar jumrah di Mina. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara mabit dan persiapan lempar jumrah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
349,Apa yang dilakukan pada tanggal 10 Dzulhijjah di Mina?,"Pada tanggal 10 Dzulhijjah, kita kembali ke Mina untuk melakukan lempar jumrah aqabah, yaitu melempar tujuh kerikil ke tugu besar. Setelah itu, kita melakukan tahallul dengan mencukur rambut atau memotong sebagian rambut. Pada hari ini juga, kita menyembelih hewan kurban sebagai bagian dari ibadah haji. Apakah bapak/ibu ingin mengetahui lebih rinci tentang tata cara lempar jumrah dan tahallul pada hari Idul Adha?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
350,Apa itu lempar jumrah aqabah?,"Lempar jumrah aqabah adalah melempar tujuh kerikil ke tugu besar di Mina pada tanggal 10 Dzulhijjah. Ini adalah salah satu ritual penting dalam ibadah haji yang melambangkan penolakan terhadap godaan setan. Setelah melempar jumrah aqabah, kita melakukan tahallul dengan mencukur rambut atau memotong sebagian rambut. Apakah bapak/ibu ingin mengetahui lebih rinci tentang makna dan tata cara lempar jumrah aqabah?","Fiqh Praktis Haji dan Umrah Oleh Abu Yusuf Akhmad Ja'far
"
